EC,TDS,pH,HCO3,Cl,SO4,Ca ,K ,Mg,Na ,NO3,Al,Co,Cu ,Fe ,Mn ,Ni ,Zn ,Y
142.1,100.5,8.24,65.575,22.382,2.134,10.9,4.29,8.29,17.4,1.075,0.622,0.173,0.178,0.544,0.0406,0.147,0.0059,1
105.3,83.5,8.5,70.15,18.776,2.52,8.55,3.89,7.14,14.8,1.826,0.784,0.279,0.1755,0.748,0.0339,0.1285,0.0629,1
125.8,85.9,7.9,64.05000000000003,18.708,1.307,8.06,4.18,7.57,14.1,2.65,0.522,0.216,0.1715,0.0787,0.029,0.104,0.0421,1
122.2,83.6,8.32,70.14999999999996,18.346,1.469,8.49,3.56,8.1,12.6,3.242,0.5085,0.174,0.1785,0.0137,0.0285,0.0712,0.0872,1
60.0,45.1,8.36,48.80000000000005,10.186,3.21,5.1,2.22,3.25,7.33,1.551,0.471,0.148,0.1775,0.039,0.0158,0.0879,0.0779,0
98.5,66.2,7.71,45.74999999999999,15.919,9.5,7.02,2.25,4.39,9.6,2.929,0.5465,0.188,0.175,0.192,0.0256,0.0971,0.1455,1
88.6,69.3,8.29,67.09999999999997,9.815,3.982,12.4,1.81,5.07,9.73,1.053,0.5675,0.194,0.1745,0.3285,0.042,0.125,0.0502,1
134.6,93.2,8.7,79.29999999999993,10.53,2.675,14.4,1.48,11.7,11.8,3.488,0.607,0.192,0.1835,0.0342,0.0509,0.1205,0.0677,1
211.1,145.9,7.48,112.84999999999987,16.888,2.506,19.5,1.24,16.1,23.6,3.645,0.642,0.222,0.171,0.0811,0.0674,0.0871,0.0,1
131.2,91.8,8.13,83.875,10.473,2.827,15.0,0.281,12.0,11.3,3.093,0.6115,0.195,0.172,0.0253,0.0525,0.1235,0.0709,1
109.5,79.3,8.44,91.49999999999999,10.363,0.784,8.5,2.37,8.22,13.0,2.41,1.16,0.21,0.1745,0.5815,0.0624,0.0849,0.304,1
96.7,70.3,8.58,61.0,10.728,2.016,9.0,1.18,6.82,10.2,4.477,0.959,0.189,0.2125,0.382,0.0343,0.132,1.01,1
374.5,257.7,8.8,122.0,48.888,15.963,34.9,3.18,23.4,38.3,5.221,0.7945,0.266,0.2995,0.0869,0.113,0.1775,0.1305,1
312.5,205.6,8.52,65.57499999999996,67.765,19.187,8.1,0.779,21.3,31.3,7.651,0.526,0.259,0.315,0.0633,0.0331,0.12,0.0973,1
87.8,58.1,6.9,194.89500000000024,129.317,48.665,48.5,3.5,52.5,67.2,3.064,0.923,0.493,0.481,0.1345,0.1565,0.2125,0.1345,2
900.0,596.0,7.33,237.90000000000038,159.81,9.472,47.3,1.93,51.9,69.5,2.083,0.915,0.495,0.469,0.1295,0.1455,0.2275,0.0696,2
600.0,418.0,5.86,146.40000000000015,105.029,15.751,18.8,2.21,32.4,51.4,15.304,1.64,0.328,0.274,0.7225,0.0754,0.146,0.5215,2
720.0,509.0,6.61,210.45,90.82,13.648,29.9,5.79,44.0,58.6,57.37,1.12,0.424,0.298,0.3405,0.1055,0.184,0.3335,2
750.0,530.0,6.36,170.79999999999993,119.345,15.14,25.5,0.7435,34.2,67.5,5.112,0.7285,0.344,0.323,0.2165,0.0923,0.182,0.0714,2
554.0,365.4,6.56,150.97500000000008,77.342,5.645,14.5,3.13,27.5,43.3,6.944,0.612,0.311,0.266,0.479,0.0562,0.116,0.1274,1
1732.0,1195.0,5.99,384.90999999999997,285.003,64.133,158.0,1.76,163.0,78.1,19.155,1.71,0.833,0.4635,0.3155,0.33,0.3865,0.233,2
1220.0,840.0,6.45,338.5499999999997,153.2799,16.482,90.8,1.3,85.6,74.4,7.491,1.28,0.64,0.323,0.2225,0.237,0.316,0.1445,2
781.0,511.0,6.22,106.13999999999999,115.446,3.932,44.1,2.9,43.6,48.3,1.493,0.8595,0.376,0.301,0.1245,0.1405,0.165,0.0192,2
98.5,86.0,8.34,70.76000000000003,13.763,1.872,12.1,2.09,9.56,9.76,2.142,0.986,0.136,0.1955,0.444,0.0428,0.1145,0.0,1
58.6,50.4,8.91,48.79999999999994,8.693,1.51,7.81,1.34,6.42,6.05,1.995,0.54,0.159,0.203,0.0306,0.0532,0.0667,0.4545,1
99.1,94.7,8.55,88.45000000000007,7.404,3.695,18.4,1.3,12.7,8.57,0.783,0.626,0.257,0.201,0.2055,0.0641,0.0977,0.1725,1
62.9,53.9,8.73,51.84999999999999,9.127,1.708,8.75,1.17,6.96,5.92,0.974,0.513,0.204,0.195,0.0977,0.0302,0.0935,0.1136,1
265.2,209.2,8.61,146.40000000000003,21.664,7.47,32.6,1.71,29.6,19.0,5.135,0.7455,0.27,0.217,0.0881,0.103,0.1495,0.0533,1
369.5,310.2,8.68,190.6249999999999,47.187,6.783,50.7,1.7,48.0,26.6,4.727,0.942,0.42,0.253,0.1029,0.361,0.2025,0.3935,2
134.6,109.5,8.91,88.45000000000007,11.502,6.083,18.7,1.39,15.9,12.9,4.916,0.65,0.196,2.72,0.0826,0.0853,0.0799,0.1445,1
79.9,69.6,8.46,51.85000000000004,14.226,2.489,11.2,1.52,8.43,8.16,5.823,0.5165,0.166,1.76,0.0504,0.0369,0.064,0.138,1
276.4,217.0,7.15,68.62500000000003,67.926,9.887,12.9,2.65,19.3,28.6,2.912,1.03,0.263,0.3995,0.701,0.0501,0.1063,0.1265,2
124.6,97.7,7.48,38.12499999999995,30.251,4.817,7.27,0.788,6.21,14.1,2.152,0.6135,0.11,0.462,0.4385,0.0335,0.1008,0.0258,1
77.9,63.3,7.68,24.400000000000023,19.85,1.591,2.2,0.804,3.03,9.82,4.372,0.4485,0.15,0.3105,0.0,0.1915,0.0575,0.3415,1
66.9,58.2,7.71,22.874999999999996,26.636,3.597,12.9,0.6645,8.63,9.51,1.66,0.5735,0.161,0.2895,0.0272,0.071,0.0941,1.82,1
220.9,170.9,8.26,88.45000000000012,35.042,7.951,56.0,7.12,41.9,54.9,1.388,1.02,0.427,0.3665,0.1595,0.169,0.2405,0.1432,2
714.0,532.0,8.89,158.59999999999985,147.043,11.889,42.5,4.39,46.6,61.7,2.938,0.882,0.464,0.3295,0.1355,0.1395,0.197,0.1046,2
730.0,521.0,9.35,167.75000000000017,161.05,5.063,41.8,80.1,46.5,59.4,3.086,0.8895,0.323,0.2775,0.1175,0.1375,0.1715,0.091,2
736.0,531.0,9.35,152.50000000000003,162.775,10.296,46.8,19.7,54.4,48.4,2.318,0.9355,0.497,0.3765,0.1525,0.154,0.2105,0.1175,2
648.0,471.0,8.98,198.2499999999999,121.768,15.958,25.3,8.06,19.0,17.0,2.715,0.7345,0.267,0.2915,0.974,0.0891,0.1104,0.016,2
192.7,150.5,7.45,91.49999999999999,29.132,7.913,39.6,18.6,15.4,16.1,5.708,1.26,0.23,0.2895,0.516,0.0733,0.117,0.0045,2
238.8,186.4,8.4,85.40000000000002,41.24,11.538,41.3,98.6,43.9,21.4,3.563,0.859,0.304,0.305,0.1615,0.1375,0.2035,0.0,2
331.6,266.0,8.72,137.25,44.08,10.533,72.2,135.0,49.5,28.5,2.713,1.12,0.423,0.331,0.178,0.414,0.2035,0.177,2
52.8,42.4,9.67,39.649999999999935,9.184,1.583,24.0,67.1,7.7,9.95,2.4375,0.6765,0.259,0.252,0.0749,0.7245,0.125,0.6915,2
38.9,31.0,9.29,27.144999999999992,13.118,2.347,10.5,80.8,5.39,9.26,1.89,0.565,0.13,0.231,0.0856,0.0508,0.1505,0.1555,1
95.7,75.5,9.26,60.39000000000001,14.59,2.181,3.44,95.3,2.92,4.55,1.464,0.4745,0.224,0.208,0.0198,0.0104,0.0889,0.0263,1
36.3,30.4,9.35,36.60000000000001,7.682,1.646,1.88,66.3,1.9,6.38,2.964,0.509,0.127,0.2075,0.15,0.0,0.0329,0.0,0
44.4,36.8,9.15,27.44999999999996,11.358,1.303,3.97,70.0,7.29,8.2,2.819,0.4435,0.132,0.2225,0.0,0.15,0.0206,0.0618,1
92.4,74.6,8.65,54.89999999999992,17.675,2.667,135.0,62.6,163.0,77.1,2.94,1.34,0.0797,0.3505,0.0989,0.28,0.0,0.0,2
824.0,608.0,8.59,186.05,154.028,21.384,57.5,63.5,60.0,169.0,3.457,0.932,0.573,0.336,0.261,0.181,0.201,0.118,2
2393.0,1840.0,8.48,137.25,800.803,21.516,3.93,57.7,4.64,44.4,0.0,0.283,0.0989,0.132,2.48,0.1285,0.0251,0.3005,2
630.0,470.0,8.13,118.95000000000007,101.095,9.726,31.1,208.0,36.7,71.0,5.859,0.575,0.247,0.201,0.226,0.106,0.0971,0.0053,2
713.0,540.0,8.26,213.50000000000009,109.869,11.266,17.8,60.2,24.5,56.9,9.759,0.4505,0.236,0.2125,0.0441,0.0599,0.1075,0.0332,1
388.0,276.3,7.85,161.65000000000015,57.959,3.316,26.7,3.28,0.114,20.8,1.632,0.0663,0.0,0.0,0.0,0.0196,0.0,0.0,0
2420.0,1549.0,7.8,251.0,497.0,64.2,88.0,5.0,68.0,267.0,2.0,0.3178,0.019,0.04,0.032,0.004,0.083,0.0,1
745.0,477.0,8.3,142.0,99.0,10.0,25.0,5.0,15.0,71.0,10.0,0.348,0.011,0.052,0.03,0.005,0.094,0.0,0
670.0,429.0,7.8,124.0,74.0,12.0,10.0,6.0,11.0,71.0,14.0,0.382,0.027,0.049,0.037,0.004,0.081,0.0,0
1110.0,710.0,8.1,140.0,190.0,10.0,35.0,4.0,25.0,93.0,7.0,0.393,0.03,0.042,0.03,0.004,0.076,0.0,1
1320.0,845.0,8.2,214.0,165.0,12.0,25.0,6.0,21.0,124.0,10.0,0.378,0.025,0.054,0.036,0.004,0.051,0.0,1
1490.0,954.0,8.1,281.0,182.0,18.0,38.0,4.0,32.0,159.0,19.0,0.3214,0.026,0.026,0.036,0.005,0.087,0.0,1
1334.5,890.0,7.8,223.0,166.0,29.0,32.5,3.94118,27.5,144.5,15.0,0.323,0.025,0.05,0.031,0.003,0.086,0.0,1
789.0,505.0,8.2,141.0,123.0,11.0,16.0,4.0,21.0,89.0,8.0,0.366,0.021,0.047,0.028,0.003,0.071,0.0,0
823.5,544.4,7.6,155.6,115.9,11.5,25.5,4.6,16.5,76.0,14.0,0.326,0.024,0.026,0.042,0.004,0.078,0.0,0
480.0,307.0,8.5,55.0,83.0,8.0,10.0,5.0,16.0,34.0,11.0,0.309,0.019,0.015,0.028,0.004,0.092,0.0,0
554.0,355.0,8.0,105.0,95.0,5.0,13.0,6.0,21.0,56.0,14.0,0.321,0.018,0.026,0.055,0.003,0.078,0.0,0
